timesteps,mean_reward
25000,293.723662
50000,285.852220
75000,275.938121
100000,279.333792
125000,349.459077
150000,373.607843
175000,427.548931
200000,432.706641
225000,435.021316
250000,419.332346
275000,449.929670
300000,436.114765
325000,441.705234
350000,430.550633
375000,447.183750
400000,428.094498
425000,442.737814
450000,438.955908
475000,422.937709
500000,438.033396
525000,439.937439
550000,442.512043
575000,431.432589
600000,433.701029
625000,430.898296
650000,419.633652
675000,429.267845
700000,435.731034
725000,437.568721
750000,432.231621
775000,445.835047
800000,447.403655
825000,446.939611
850000,434.658045
875000,429.744288
900000,433.520722
925000,446.827463
950000,432.334532
975000,443.690897
1000000,447.720662
